instance,epoch,link0,link1,link2,link3,link4,link5
arm_0,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_1,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_2,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_3,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_4,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_5,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_6,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_7,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_8,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_9,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_10,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_11,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_12,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_13,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_14,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_15,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_16,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_17,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_18,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_19,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_20,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_21,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_22,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_23,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_24,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_25,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_26,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_27,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_28,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_29,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_30,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_31,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_32,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_33,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_34,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_35,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_36,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_37,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_38,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_39,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_40,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_41,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_42,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_43,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_44,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_45,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_46,1,327.274,0.0,0.0,0.0,0.0,0.0
arm_47,1,327.274,0.0,0.0,0.0,0.0,0.0
